Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Status,Number of Articles,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Total Funding Amount,Number of Investors,Last Funding Type,Website,Number of Funding Rounds
Outcome Health,https://www.crunchbase.com/organization/outcomehealth,"Media and Entertainment, Information Technology, Health Care, Video, Content and Publishing, Advertising","Chicago, Illinois, United States",Outcome Health delivers better health outcomes and impacts the human condition positively through technology.,842,01/01/2006,Operating,9,"Information Technology, Advertising Platforms, Health Care, Broadcasting, Publishing, Content, Digital Media",2,501-1000,05/31/2017,"$500,000,000","$500,000,000",3,Series A,http://www.outcomehealth.com,1
Boom Technology,https://www.crunchbase.com/organization/boom-technology,"Science and Engineering, Transportation","Centennial, Colorado, United States",Boom Technology is making supersonic passenger travel into reality by making a supersonic airliner.,866,01/01/2014,Operating,9,"Air Transportation, Infrastructure, Aerospace",3,11-50,03/22/2017,"$33,000,000","$35,240,000",13,Series A,http://boomsupersonic.com/,3
Rainforest QA,https://www.crunchbase.com/organization/rainforest,"Apps, Data and Analytics, Software, Mobile","San Francisco, California, United States",QA Testing at the Speed of Development. Write test cases and get results on-demand in under 30 minutes.,878,06/01/2012,Operating,31,"Quality Assurance, Test and Measurement, Mobile Apps, Web Development",2,51-100,02/17/2016,"$12,000,000","$16,170,000",14,Series A,https://www.rainforestqa.com/,5
rewardStyle,https://www.crunchbase.com/organization/rewardstyle,"Commerce and Shopping, Media and Entertainment, Internet Services, Design","Dallas, Texas, United States",RewardStyle is an invitation only monetization platform that empowers digital style publishers around the world.,881,06/01/2011,Operating,109,"Digital Media, Internet, Retail, Fashion",2,101-250,06/30/2015,"$15,000,000","$15,000,000",3,Series A,http://rewardStyle.com,2
Gimlet Media,https://www.crunchbase.com/organization/gimlet-media,"Media and Entertainment, Content and Publishing","New York, New York, United States",A series about what happens when someone who knows nothing about business starts one. .,890,01/01/2014,Operating,70,"News, Media and Entertainment, Digital Media",2,11-50,12/07/2015,"$6,000,000","$7,500,000",12,Series A,http://gimletmedia.com/,2
Talkdesk,https://www.crunchbase.com/organization/talkdesk,"Information Technology, Software, Sales and Marketing, Administrative Services, Internet Services","San Francisco, California, United States","Talkdesk is an easy-to-use, cloud-based call center software solution that helps improve customer interactions while reducing costs.",906,10/10/2011,Operating,66,"Call Center, Cloud Computing, Customer Service, SaaS, CRM",2,101-250,10/07/2015,"$6,000,000","$24,450,000",6,Series A,http://talkdesk.com,4
Xapo,https://www.crunchbase.com/organization/xapo,"Software, Payments, Financial Services","Palo Alto, California, United States",Xapo combines the convenience of an everyday bitcoin wallet with the security of a deep cold storage vault.,916,01/01/2012,Operating,172,"Bitcoin, Financial Services",3,11-50,07/08/2014,"$20,000,000","$40,000,000",24,Series A,http://xapo.com,2
BuildZoom,https://www.crunchbase.com/organization/buildzoom,Real Estate,"San Francisco, California, United States",Uber for remodeling. Hire a licensed general contractor with the tap of a button. The first marketplace for remodeling.,929,01/01/2012,Operating,92,"Construction, Home Renovation, Home Improvement",2,11-50,10/14/2015,"$11,000,000","$14,563,000",21,Series A,https://www.buildzoom.com,4
"Vericred, Inc",https://www.crunchbase.com/organization/vericred-inc,"Information Technology, Health Care","New York, New York, United States",Enabling Innovation in Healthcare Through Data,934,01/01/2014,Operating,9,"Health Care, Information Technology",2,11-50,05/22/2017,"$5,500,000","$9,850,000",1,Series A,http://www.vericred.com,3
Mighty Networks,https://www.crunchbase.com/organization/mightynetworks,"Community and Lifestyle, Software, Professional Services","Palo Alto, California, United States",Mighty Networks is the fastest way to create and grow a community-powered brand on your own deep interest social network.,951,01/01/2017,Operating,66,"Software, Private Social Networking, Communities, Professional Networking",2,11-50,10/25/2016,"$5,000,000","$10,000,000",9,Series A,http://www.mightynetworks.com,5
ThirdLove,https://www.crunchbase.com/organization/thirdlove,"Commerce and Shopping, Design, Mobile","San Francisco, California, United States",ThirdLove is an innovative bra and underwear brand that believes fit should come first.,978,01/01/2013,Operating,45,"Mobile, Shopping, Fashion, E-Commerce",2,101-250,02/02/2016,"$8,000,000","$13,600,000",38,Series A,https://www.thirdlove.com,2
"Gazillion, Inc.",https://www.crunchbase.com/organization/gazillion-entertainment,"Gaming, Hardware, Software, Mobile","Foster City, California, United States",Gazillion is a privately held developer and publisher of online and mobile games.,"1,004",01/01/2005,Operating,99,"Virtual Reality, Mobile, MMO Games, Online Games",2,101-250,04/01/2016,"$11,000,000","$71,000,000",8,Series A,http://gazillion.com,2
Headspace,https://www.crunchbase.com/organization/headspace,"Apps, Media and Entertainment, Events, Software, Sports, Health Care, Mobile","Santa Monica, California, United States",Headspace's mission is to improve the health and happiness of the world.,"1,005",01/01/2010,Operating,54,"Mobile Apps, Health Care, Fitness, Events, Wellness",2,101-250,09/17/2015,"$34,303,977","$38,453,477",14,Series A,http://www.headspace.com,3
Influential,https://www.crunchbase.com/organization/influential,"Science and Engineering, Media and Entertainment, Information Technology, Data and Analytics, Software, Sales and Marketing, Advertising","Beverly Hills, California, United States",Influential is an A.I. influencer technology and the only Developer Partner of IBM Watson for Influencer Marketing and Technology.,"1,019",10/01/2014,Operating,71,"Advertising, Artificial Intelligence, Information Technology, Content, Marketing",2,51-100,07/26/2016,"$11,000,000","$16,000,000",13,Series A,https://influential.co/,4
nuTonomy,https://www.crunchbase.com/organization/nutonomy,"Science and Engineering, Hardware, Software, Transportation, Mobile","Cambridge, Massachusetts, United States",nuTonomy is a self-driving car company that focuses on inventing software for self-driving vehicles and autonomous mobile robots.,"1,043",01/01/2013,Operating,6,"Autonomous Vehicles, Robotics, Transportation, Automotive, Mobile",2,51-100,05/24/2016,"$16,000,000","$19,600,000",5,Series A,http://nutonomy.com/,2
token,https://www.crunchbase.com/organization/token-2,"Software, Payments, Financial Services","San Francisco, California, United States","Token’s mission is to allow financial institutions, businesses, and people to instantly and securely move money.","1,049",01/01/2015,Operating,5,"Software, FinTech, Payments, Real Time",4,11-50,04/24/2017,"$15,700,000","$18,500,000",4,Series A,http://token.io,2
FogHorn,https://www.crunchbase.com/organization/foghorn,"Science and Engineering, Hardware, Software, Internet Services","Mountain View, California, United States",FogHorn is a path-breaking multi-tier IoT application deployment platform that efficiently bridges Information Technology.,"1,051",01/01/2014,Operating,,"Industrial, Software, Internet of Things, Robotics",3,11-50,05/15/2017,"$3,000,000","$17,500,000",11,Series A,http://www.foghorn-systems.com,3
Reali,https://www.crunchbase.com/organization/reali,"Real Estate, Mobile","San Mateo, California, United States",Reali is a real estates technology company that enables property buyers and sellers transact through its app.,"1,071",08/01/2015,Operating,,"Real Estate, Mobile, Property Management",2,11-50,05/25/2017,"$5,000,000","$7,000,000",8,Series A,http://www.reali.com/,2
Helix,https://www.crunchbase.com/organization/helix,"Biotechnology, Science and Engineering, Data and Analytics, Health Care","San Francisco, California, United States",Connecting people with insights into their own DNA. Sharing company news and the latest in genetics.,"1,077",07/15/2015,Operating,12,"Biotechnology, Genetics, Health Care, Personal Health, Big Data, Wellness",3,51-100,08/15/2015,"$100,000,000","$100,000,000",4,Series A,http://www.helix.com/,1
People.ai,https://www.crunchbase.com/organization/people-ai,"Science and Engineering, Data and Analytics, Software, Sales and Marketing","San Francisco, California, United States",People.ai is a sales management platform that empowers sales leaders to be more effective at managing their teams and growing revenue.,"1,096",01/01/2016,Operating,1,"Machine Learning, Sales, Artificial Intelligence, Predictive Analytics",1,11-50,05/30/2017,"$7,000,000","$7,120,000",13,Series A,https://people.ai/,3
Discuss.IO,https://www.crunchbase.com/organization/discuss-io,"Data and Analytics, Software, Design","Seattle, Washington, United States",Discuss.IO was founded in 2012 to make on-demand market research available to companies of all sizes.,"1,113",01/01/2012,Operating,,"Software, Market Research, Customer Service",2,1-10,05/26/2017,"$5,025,000","$7,307,000",4,Series A,http://www.discuss.io,4
SuperFlex,https://www.crunchbase.com/organization/superflex,"Science and Engineering, Hardware, Consumer Electronics, Data and Analytics, Software","Menlo Park, California, United States",SuperFlex produces and develops custom garments with flexible electric motors built in that help the wearer with everyday tasks.,"1,121",04/01/2016,Operating,,"Wearables, Robotics, Machine Learning, Artificial Intelligence",1,11-50,05/30/2017,"$10,199,996","$10,199,996",5,Series A,http://www.superflextech.com/,1
Mezi,https://www.crunchbase.com/organization/mezi,"Apps, Science and Engineering, Travel and Tourism, Data and Analytics, Software, Mobile","Sunnyvale, California, United States","Mezi is an AI-powered personal travel assistant, accessible 24x7, over messaging.","1,129",06/01/2015,Operating,10,"Apps, Travel, Virtual Assistant, Artificial Intelligence, Mobile",2,11-50,07/26/2016,"$9,000,000","$11,800,000",8,Series A,https://mezi.com,2
CB Insights,https://www.crunchbase.com/organization/cb-insights,"Data and Analytics, Software, Financial Services, Lending and Investments","New York, New York, United States",CB Insights builts software that predicts what the next technology trend will be.,"1,137",01/01/2008,Operating,"1,918","Venture Capital, Database, Angel Investment, Analytics",2,11-50,09/01/2015,"$10,000,000","$11,650,000",4,Series A,http://cbinsights.com,3
Locus Robotics,https://www.crunchbase.com/organization/locus-robotics,"Manufacturing, Science and Engineering, Hardware, Software, Transportation","Andover, Massachusetts, United States",Locus Robotics is a Massachusetts-based warehouse robotics company.,"1,154",01/01/2014,Operating,60,"Supply Chain Management, Robotics, Industrial Automation",1,11-50,05/26/2016,"$8,000,000","$8,000,000",,Series A,http://www.locusrobotics.com,1
Buffer,https://www.crunchbase.com/organization/buffer,"Apps, Media and Entertainment, Software, Internet Services","San Francisco, California, United States",Buffer helps users share social media content by scheduling online posts throughout the day.,"1,169",10/12/2010,Operating,402,"Apps, Internet, Social Media",3,11-50,10/27/2014,"$3,500,000","$3,900,000",30,Series A,http://buffer.com,3
Embroker,https://www.crunchbase.com/organization/embroker,"Software, Financial Services","San Francisco, California, United States",Business Insurance the Way it Should Be,"1,170",01/01/2015,Operating,24,"Risk Management, Insurance, Small and Medium Businesses, Enterprise Software",3,11-50,05/17/2016,"$12,200,000","$14,400,000",8,Series A,http://www.embroker.com,2
SafeGraph,https://www.crunchbase.com/organization/safegraph,"Science and Engineering, Data and Analytics, Community and Lifestyle, Software, Internet Services","San Francisco, California, United States",SafeGraph is unlocking the world's most powerful data so that machines and humans can answer society's toughest questions.,"1,197",01/01/2016,Operating,3,"Q&A, Artificial Intelligence, Machine Learning, Internet",2,,04/19/2017,"$16,000,000","$16,000,000",16,Series A,http://www.safegraph.com/,1
Hello Alfred,https://www.crunchbase.com/organization/alfred,"Consumer Electronics, Real Estate, Food and Beverage","New York, New York, United States",Hello Alfred is the trusted operating system for your home. Powered by technology and exceptional service #ComeHomeHappy,"1,200",09/01/2013,Operating,67,"Home Services, Grocery, Home Automation",2,11-50,04/14/2015,"$10,500,000","$12,500,000",10,Series A,http://www.helloalfred.com,3
Homebase,https://www.crunchbase.com/organization/homebase,,"San Francisco, California, United States",Homebase is the easiest way to track hours and schedule.,"1,201",01/01/2014,Operating,10,"Local, Small and Medium Businesses, Human Resources",1,,08/04/2016,"$6,000,000","$8,000,000",4,Series A,http://www.joinhomebase.com,2
Raise.me,https://www.crunchbase.com/organization/raise-labs-inc,"Commerce and Shopping, Education, Financial Services","San Francisco, California, United States",Raise.me is reinventing financial aid.,"1,206",01/01/2012,Operating,11,"Marketplace, Finance, Education",3,11-50,03/29/2017,"$12,000,000","$16,500,000",11,Series A,http://www.raise.me,3
Twine,https://www.crunchbase.com/organization/twine-data,"Apps, Media and Entertainment, Software, Sales and Marketing, Content and Publishing, Advertising","Los Angeles, California, United States",Twine is a mobile data platform that works with app publishers who generate mobile data & the companies who need data for ad targeting,"1,243",01/01/2013,Operating,,"Advertising, Apps, Publishing",1,1-10,05/08/2017,"$4,500,000","$5,180,000",4,Series A,http://www.twinedata.com,3
Freenome,https://www.crunchbase.com/organization/freenome,"Biotechnology, Science and Engineering, Health Care","South San Francisco, California, United States",Freenome is a platform that helps design healthy conditions for an individual based on his/her cell-free genome,"1,246",01/01/2015,Operating,1,"Biotechnology, Health Diagnostics, Health Care, Personal Health",3,11-50,03/01/2017,"$65,000,000","$70,550,000",13,Series A,http://www.freenome.com,2
Trucker Path,https://www.crunchbase.com/organization/trucker-path,"Navigation and Mapping, Transportation, Mobile","Mountain View, California, United States",America's most popular platform for truckers and freight shipping marketplace,"1,277",10/28/2013,Operating,103,"Navigation, Transportation, Mobile, Logistics, Crowdsourcing, Public Transportation",2,51-100,06/30/2015,"$20,000,000","$21,500,000",3,Series A,https://truckerpath.com/,3
IoTium,https://www.crunchbase.com/organization/iotium,,"Santa Clara, California, United States",IoTium simplifies establishing and managing secure network infrastructure for Industrial IoT.,"1,284",01/01/2015,Operating,,Infrastructure,4,,05/11/2017,"$8,390,000","$8,390,000",6,Series A,http://iotium.io/,1
Reformation,https://www.crunchbase.com/organization/reformation,"Manufacturing, Commerce and Shopping, Design","Los Angeles, California, United States","Reformation is a revolution in fashion where design, value and sustainability coexist.","1,333",01/01/2009,Operating,11,"E-Commerce, Fashion, Manufacturing",1,101-250,04/02/2015,"$12,000,000","$12,000,000",6,Series A,http://www.thereformation.com,1
"Two Pore Guys, Inc.",https://www.crunchbase.com/organization/two-pore-guys-inc,"Biotechnology, Science and Engineering","Santa Cruz, California, United States","Hand-held, low cost, single molecule biosensor -- accurate and precise as medical equipment; as easy to use as a glucose monitor","1,334",08/08/2011,Operating,1,Biotechnology,2,51-100,04/25/2017,"$24,500,000","$29,683,662",1,Series A,http://www.twoporeguys.com,2
Bigfoot Biomedical,https://www.crunchbase.com/organization/bigfoot-biomedical--inc-,"Software, Health Care, Internet Services, Mobile","Milpitas, California, United States","Developing an end-to-end Type 1 Diabetes Management System using simple design, cloud connectivity and human centered automation.","1,336",11/18/2014,Operating,25,"Health Care, mHealth, Cloud Computing",4,11-50,10/05/2016,"$35,500,000","$50,850,000",15,Series A,http://www.bigfootbiomedical.com,5
Capella Space,https://www.crunchbase.com/organization/capella-space,"Hardware, Information Technology, Data and Analytics, Software","Palo Alto, California, United States",Capella delivers persistent and reliable information from space independent of weather and light conditions.,"1,363",03/01/2016,Operating,3,"Satellite Communication, Information Services, Image Recognition",3,,05/09/2017,"$12,000,000","$12,000,000",8,Series A,http://www.capellaspace.com,4
Sense360,https://www.crunchbase.com/organization/sense360,"Hardware, Consumer Electronics, Internet Services, Mobile","Los Angeles, California, United States","Sense360 provides companies with actionable data & intelligence about their customers, competitors, and industry.","1,380",01/01/2014,Operating,23,"Internet, Personalization, Mobile Devices",2,11-50,04/25/2017,"$7,000,000","$9,750,000",13,Series A,http://www.sense360.com,2
CloudCraze LLC,https://www.crunchbase.com/organization/cloudcraze-llc,"Hardware, Commerce and Shopping, Information Technology, Software, Sales and Marketing, Internet Services","Chicago, Illinois, United States",CloudCraze is the enterprise commerce platform built natively on Salesforce,"1,407",01/01/2009,Operating,88,"Cloud Infrastructure, SaaS, E-Commerce, CRM, Information Technology, B2B",1,51-100,01/05/2017,"$20,000,000","$30,625,000",1,Series A,http://www.cloudcraze.com,2
GoFundMe,https://www.crunchbase.com/organization/gofundme,"Media and Entertainment, Events, Financial Services, Lending and Investments","San Diego, California, United States",GoFundMe is a crowdfunding platform enabling people to raise money for different life events.,"1,428",01/01/2008,Operating,926,"Angel Investment, Events, Crowdfunding",3,101-250,07/02/2015,,,10,Series A,http://www.gofundme.com,1
Gixo,https://www.crunchbase.com/organization/gixo,,"San Francisco, California, United States",Limited Info.,"1,431",04/01/2016,Operating,,,1,11-50,05/25/2017,"$3,700,000","$3,700,000",4,Series A,http://gixo.com,1
Bunker,https://www.crunchbase.com/organization/bunker-ventures,"Commerce and Shopping, Financial Services","San Francisco, California, United States",Bunker Protect is a company that offers bunker insurance for small companies.,"1,444",01/01/2015,Operating,,"Marketplace, Risk Management, Insurance",1,11-50,05/11/2017,"$6,000,000","$8,000,000",8,Series A,http://buildbunker.com,2
Aporeto,https://www.crunchbase.com/organization/aporeto,"Information Technology, Government and Military, Privacy and Security","San Jose, California, United States",Cloud Native Security for Containers and Microservices,"1,446",01/01/2015,Operating,,"Security, Government, Cyber Security",3,1-10,05/18/2017,"$11,200,000","$14,500,000",4,Series A,https://aporeto.com,2
Cuebiq,https://www.crunchbase.com/organization/cuebiq,"Hardware, Commerce and Shopping, Navigation and Mapping, Data and Analytics, Software, Internet Services, Design","Manhattan, New York, United States",Location intelligence company that allows brands and retailers to glean actionable insights about real-world consumer behaviors and trends.,"1,471",09/01/2015,Operating,1,"Big Data, Business Intelligence, Market Research, Location Based Services, Retail Technology",4,11-50,05/15/2017,"$6,050,000","$9,050,000",6,Series A,http://www.cuebiq.com,2
Aspiration,https://www.crunchbase.com/organization/aspiration,"Commerce and Shopping, Sustainability, Financial Services, Lending and Investments","Marina Del Rey, California, United States","Aspiration is a financial firm with a conscience that is built for everyone, committed to giving and founded on trust.","1,507",,Operating,51,"E-Commerce, Financial Services, Sustainability, Banking, FinTech",2,11-50,09/17/2015,"$15,500,000","$20,500,000",25,Series A,https://www.aspiration.com,3
BrightFunnel,https://www.crunchbase.com/organization/brightfunnel,"Data and Analytics, Software","San Francisco, California, United States","Predictive Intelligence for B2B Marketers - Attribution, Forecasting & Benchmarking","1,516",10/25/2012,Operating,21,"Enterprise Software, Big Data, B2B",3,11-50,12/02/2015,"$6,000,000","$8,948,000",21,Series A,http://www.brightfunnel.com,4
Front App,https://www.crunchbase.com/organization/front-app,"Apps, Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States",Front App is a collaborative inbox for businesses.,"1,524",11/01/2013,Operating,5,"Software, Collaboration, Email, Apps, SaaS",3,11-50,05/26/2016,"$10,000,000","$13,250,000",26,Series A,http://frontapp.com,4
storefront,https://www.crunchbase.com/organization/storefront,"Commerce and Shopping, Real Estate, Design","New York, New York, United States","A pop-up shop helps build your brand, cultivate awareness and increase sales. Storefront helps you find the right space in three easy steps","1,537",01/01/2012,Operating,64,"Commercial Real Estate, Retail, Real Estate, Fashion",4,11-50,04/14/2014,"$7,300,000","$8,900,000",21,Series A,https://www.thestorefront.com/,2
Trilogy Education Services,https://www.crunchbase.com/organization/trilogy-education-services,Education,"New York, New York, United States","Trilogy Education Services creates and manages market-driven, skills-based training programs for the world’s leading universities.","1,541",09/01/2015,Operating,4,"Continuing Education, Education, Training",1,101-250,06/05/2017,"$30,000,000","$30,000,000",3,Series A,http://www.trilogyed.com,1
Quizlet,https://www.crunchbase.com/organization/quizlet,"Education, Internet Services, Mobile","San Francisco, California, United States",Quizlet is building great learning tools for every student on the planet.,"1,545",01/17/2007,Operating,51,"Knowledge Management, Education, Mobile, Internet",1,11-50,11/23/2015,"$12,000,000","$12,000,000",5,Series A,https://quizlet.com,1
Chorus.ai,https://www.crunchbase.com/organization/chorus-ai,"Software, Sales and Marketing","San Francisco, California, United States",Chorus.ai offers software that provides conversation intelligence for sales teams.,"1,555",01/01/2015,Operating,1,"Sales, Customer Service, Software",2,11-50,02/07/2017,"$16,000,000","$22,300,000",3,Series A,http://www.chorus.ai,2
Hippo Insurance,https://www.crunchbase.com/organization/hippo-insurance,Financial Services,"Mountain View, California, United States","Hippo offers intuitive and proactive home insurance by taking a smarter, tech-driven approach.","1,591",01/01/2015,Operating,1,"FinTech, Insurance",2,11-50,12/14/2016,"$14,000,000","$14,000,000",7,Series A,http://www.myhippo.com,1
Mavin,https://www.crunchbase.com/organization/mavin,"Sales and Marketing, Advertising","Palo Alto, California, United States",Mavin provides mobile internet strategic leadership for emerging markets.,"1,607",01/01/2013,Operating,3,Mobile Advertising,2,1-10,05/23/2017,"$3,000,000","$9,240,487",5,Series A,http://www.mavin.co/,4
Fig,https://www.crunchbase.com/organization/fig-4,"Gaming, Financial Services","San Francisco, California, United States",Fig is a community powered publisher of video games. We’re innovating on a new publishing model to create great video games.,"1,626",01/01/2015,Operating,94,"Crowdfunding, Video Games",3,11-50,01/19/2017,"$7,840,000","$7,840,000",9,Series A,https://www.fig.co,2
Survata,https://www.crunchbase.com/organization/survata,"Data and Analytics, Design, Advertising","San Francisco, California, United States",Survata sells Brand Intelligence to the world’s largest brands.,"1,630",01/01/2012,Operating,52,"Analytics, Product Research, Consumer Research, Market Research, Ad Retargeting, A/B Testing",1,,07/21/2015,"$6,000,000","$7,717,000",10,Series A,https://www.survata.com,3
